entry,image,pinned
ingress-nginx-ingress-nginx-4-15-1-default,registry.k8s.io/ingress-nginx/controller:v1.15.1@sha256:594ceea76b01c592858f803f9ff4d2cb40542cae2060410b2c95f75907d659e1,digest
ingress-nginx-ingress-nginx-4-15-1-internal-clusterip,registry.k8s.io/ingress-nginx/controller:v1.15.1@sha256:594ceea76b01c592858f803f9ff4d2cb40542cae2060410b2c95f75907d659e1,digest
istio-istiod-1-30-0-default,registry.istio.io/release/pilot:1.30.0,tag
jaegertracing-jaeger-4-8-0-default,jaegertracing/jaeger:2.18.0,tag
jaegertracing-jaeger-operator-2-57-0-default,jaegertracing/jaeger-operator:1.61.0,tag
jaegertracing-jaeger-operator-2-57-0-no-crds,jaegertracing/jaeger-operator:1.61.0,tag
jetstack-cert-manager-csi-driver-v0-14-0-default,quay.io/jetstack/cert-manager-csi-driver:v0.14.0,tag
jetstack-cert-manager-csi-driver-v0-14-0-default,quay.io/jetstack/csi-node-driver-registrar:v2.16.0,tag
jetstack-cert-manager-csi-driver-v0-14-0-default,quay.io/jetstack/livenessprobe:v2.18.0,tag
jetstack-cert-manager-v1-20-2-crds-enabled,quay.io/jetstack/cert-manager-cainjector:v1.20.2,tag
jetstack-cert-manager-v1-20-2-crds-enabled,quay.io/jetstack/cert-manager-controller:v1.20.2,tag
jetstack-cert-manager-v1-20-2-crds-enabled,quay.io/jetstack/cert-manager-webhook:v1.20.2,tag
jetstack-cert-manager-v1-20-2-default,quay.io/jetstack/cert-manager-cainjector:v1.20.2,tag
jetstack-cert-manager-v1-20-2-default,quay.io/jetstack/cert-manager-controller:v1.20.2,tag
jetstack-cert-manager-v1-20-2-default,quay.io/jetstack/cert-manager-webhook:v1.20.2,tag
jetstack-cert-manager-v1-21-0-crds-enabled,quay.io/jetstack/cert-manager-cainjector:v1.21.0,tag
jetstack-cert-manager-v1-21-0-crds-enabled,quay.io/jetstack/cert-manager-controller:v1.21.0,tag
jetstack-cert-manager-v1-21-0-crds-enabled,quay.io/jetstack/cert-manager-webhook:v1.21.0,tag
jetstack-cert-manager-v1-21-0-default,quay.io/jetstack/cert-manager-cainjector:v1.21.0,tag
jetstack-cert-manager-v1-21-0-default,quay.io/jetstack/cert-manager-controller:v1.21.0,tag
jetstack-cert-manager-v1-21-0-default,quay.io/jetstack/cert-manager-webhook:v1.21.0,tag
jetstack-trust-manager-v0-22-1-default,quay.io/jetstack/trust-manager:v0.22.1,tag
jetstack-trust-manager-v0-22-1-default,quay.io/jetstack/trust-pkg-debian-bookworm:20230311-deb12u1.6,tag
jetstack-trust-manager-v0-22-1-no-crds,quay.io/jetstack/trust-manager:v0.22.1,tag
jetstack-trust-manager-v0-22-1-no-crds,quay.io/jetstack/trust-pkg-debian-bookworm:20230311-deb12u1.6,tag
karpenter-karpenter-1-14-0-crds-managed,public.ecr.aws/karpenter/controller:1.14.0@sha256:723130949e4cab989461ff07d1be4cd781d63515432494641b33c235f300ae23,digest
