producer,name,source_kind,contents_kind,chart,chart_version,bundle_digest,file_count,verdict_lane,verdict_status,oci_reference,oci_published,receipt
config-workshop-catalog,catalog-nvidia-nvidia-device-plugin-0.19.3-eks-inference,helm-chart,rendered-config,nvidia-device-plugin,0.19.3,sha256:45b69a9327f12b9dd789084a459d9631076d39090220664662d8380717d8f036,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-nvidia-nvidia-device-plugin-0-19-3-eks-inference:latest,published,data/certified-bundles/receipts/catalog/nvidia-device-plugin-0.19.3-eks-inference/receipt.yaml
config-workshop-catalog,catalog-prometheus-community-prometheus-blackbox-exporter-11.15.1-default,helm-chart,rendered-config,prometheus-blackbox-exporter,11.15.1,sha256:b035b05d6e3eadf781facf0b7f63c0b7a1d2f25ed949fba3029ab424c2abac96,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-prometheus-community-prometheus-blackbox-exporter-11-15-1-default:latest,published,data/certified-bundles/receipts/catalog/prometheus-blackbox-exporter-11.15.1-default/receipt.yaml
config-workshop-catalog,catalog-prometheus-community-prometheus-29.8.0-default,helm-chart,rendered-config,prometheus,29.8.0,sha256:6f40c80011a2fb6d28f404703acf53ebaf45af923f735206b2a63444568df2b5,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-prometheus-community-prometheus-29-8-0-default:latest,published,data/certified-bundles/receipts/catalog/prometheus-29.8.0-default/receipt.yaml
config-workshop-catalog,catalog-secrets-store-csi-driver-secrets-store-csi-driver-1.6.0-default,helm-chart,rendered-config,secrets-store-csi-driver,1.6.0,sha256:1760f3905d2973aa0d8f79520027ff754fcbe76f6a91ed4d5d6e91ffd53e6e8d,3,flatten-with-routes,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-secrets-store-csi-driver-secrets-store-csi-driver-1-6-0-default:latest,published,data/certified-bundles/receipts/catalog/secrets-store-csi-driver-1.6.0-default/receipt.yaml
config-workshop-catalog,catalog-autoscaler-cluster-autoscaler-9.57.0-default,helm-chart,rendered-config,cluster-autoscaler,9.57.0,sha256:e228d29680562202d81f7192b309f0d1fcfabbf2887a43ec6c2a4c7233c18ee3,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-autoscaler-cluster-autoscaler-9-57-0-default:latest,published,data/certified-bundles/receipts/catalog/cluster-autoscaler-9.57.0-default/receipt.yaml
config-workshop-catalog,catalog-coredns-coredns-1.45.2-default,helm-chart,rendered-config,coredns,1.45.2,sha256:299b174490197ed7aa8d384c47f009da8b6e15dad34ce5f330ec61732afc01f2,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-coredns-coredns-1-45-2-default:latest,published,data/certified-bundles/receipts/catalog/coredns-1.45.2-default/receipt.yaml
config-workshop-catalog,catalog-crossplane-stable-crossplane-2.3.1-default,helm-chart,rendered-config,crossplane,2.3.1,sha256:1f5cf2c3ea492e8ded822b498d307ab2c20176c846841c3e45a7e04f00c9d3a4,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-crossplane-stable-crossplane-2-3-1-default:latest,published,data/certified-bundles/receipts/catalog/crossplane-2.3.1-default/receipt.yaml
config-workshop-catalog,catalog-descheduler-descheduler-0.36.0-default,helm-chart,rendered-config,descheduler,0.36.0,sha256:9cbe7178ea4398f35d23bbfc247572c12e6d296d5e42115d60ceea788edef11e,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-descheduler-descheduler-0-36-0-default:latest,published,data/certified-bundles/receipts/catalog/descheduler-0.36.0-default/receipt.yaml
config-workshop-catalog,catalog-elastic-filebeat-8.5.1-default,helm-chart,rendered-config,filebeat,8.5.1,sha256:c4f8a2f6551641b360154312c1efac211112d05fd28211f9baeccc83eec3ba56,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-elastic-filebeat-8-5-1-default:latest,published,data/certified-bundles/receipts/catalog/filebeat-8.5.1-default/receipt.yaml
config-workshop-catalog,catalog-elastic-logstash-8.5.1-default,helm-chart,rendered-config,logstash,8.5.1,sha256:14cb4e2e9c81708012849ad8e37feaa4749ad46be9937f1166f2878ee20f5e59,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-elastic-logstash-8-5-1-default:latest,published,data/certified-bundles/receipts/catalog/logstash-8.5.1-default/receipt.yaml
