rank,chart,version,recipe_path,package_path,helm_objects,cub_objects,semantic_match,rendered_sha256,scan_high,scan_medium,scan_low,uses_lookup,uses_generated_facts,uses_capabilities,uses_tpl,has_hooks,crds,cluster_rbac,webhooks,proof_focus
34,dex/dex@0.24.0,0.24.0,recipes/dex/dex/0.24.0,packages/dex/dex/0.24.0,8,9,8/8,5461ff32d1a2a157fd54a958809a06aa73938f52efc8c97f40e866cbc070b2f5,0,3,0,false,false,true,true,true,0,true,false,"identity provider, Secret/config handling, workload/service graph"
35,gitlab/gitlab-runner@0.89.0,0.89.0,recipes/gitlab/gitlab-runner/0.89.0,packages/gitlab/gitlab-runner/0.89.0,2,3,2/2,ad0d78b72ba8c9c6d896ee2faf620db82e9c52d2794f3dbbcbe6f3705c43d95e,0,0,0,false,true,true,true,false,0,false,false,"CI runner, RBAC, runtime registration Secret"
36,cloudnative-pg/cloudnative-pg@0.28.2,0.28.2,recipes/cloudnative-pg/cloudnative-pg/0.28.2,packages/cloudnative-pg/cloudnative-pg/0.28.2,21,22,21/21,67190a176fe9539df56c63c033cfffb1538a06bc47d8624532a0a980fe50bd46,0,16,0,true,true,false,true,false,10,true,true,"database operator, CRDs, webhooks, RBAC"
37,stakater/reloader@2.2.12,2.2.12,recipes/stakater/reloader/2.2.12,packages/stakater/reloader/2.2.12,6,7,6/6,d73021c041d681424e89af4e6dde4e99ac3791b1622576649778f7314f979d9e,0,2,0,false,false,true,true,false,0,true,false,"controller, RBAC, rollout automation"
38,sealed-secrets/sealed-secrets@2.18.6,2.18.6,recipes/sealed-secrets/sealed-secrets/2.18.6,packages/sealed-secrets/sealed-secrets/2.18.6,11,12,11/11,096c66f4ea312aa7c3a4fc2be815b64271c3f1c829c8914b5c96c190aa22a83e,0,3,0,true,true,true,true,false,1,true,false,"secret controller, CRDs, key lifecycle"
39,fairwinds-stable/goldilocks@10.3.0,10.3.0,recipes/fairwinds-stable/goldilocks/10.3.0,packages/fairwinds-stable/goldilocks/10.3.0,9,10,9/9,5939f53dfe4e6c888630fc4c30fcc478e4786a56cb0092139c418510da17d7a5,0,4,0,true,true,true,true,true,0,true,false,"recommendation controller, RBAC, dashboard"
40,fairwinds-stable/vpa@4.11.0,4.11.0,recipes/fairwinds-stable/vpa/4.11.0,packages/fairwinds-stable/vpa/4.11.0,28,29,28/28,9fc49375853347271950b87624ed5215a97a56370dc361b14d22f7efb157a48b,0,21,0,true,false,true,true,true,2,true,true,vertical pod autoscaler CRDs and admission
41,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,4.0.18,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,7,8,7/7,448129b8cf526e0fb240e23fc1cbddd1b6cd994158faa60904f7db5b1c10eb28,0,2,0,false,false,true,false,false,0,true,false,"storage provisioner, RBAC, external NFS target facts"
42,aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,2.60.1,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,19,20,19/19,ae9f0b30339870e7bab818ea4eb299e5393416b5efd5053dd5800017373bb3a7,0,11,0,false,false,true,true,true,0,true,false,"CSI driver, DaemonSet, RBAC, storage lifecycle"
43,autoscaler/cluster-autoscaler@9.57.0,9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0,7,8,7/7,9e67f520b5c65ff34d72f8c85e4245c2d9d238b6da336112dfa272a060d69446,1,2,0,false,false,true,true,false,0,true,false,"cluster autoscaler, RBAC, cloud provider knobs"
44,autoscaler/vertical-pod-autoscaler@0.9.0,0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0,39,40,39/39,9d7307f629bdc478fa0c9bc6646359976b96d0cfd549bd66c13442facfa57490,0,25,0,false,true,false,false,true,2,true,true,"VPA controllers, CRDs, admission webhook"
45,rook-release/rook-ceph@v1.19.5,v1.19.5,recipes/rook-release/rook-ceph/v1.19.5,packages/rook-release/rook-ceph/v1.19.5,133,134,133/133,26789923789aab27d01638f52680ee6de6d982268eee3740cabc733142f67ba8,0,78,0,true,false,true,false,false,25,true,false,"storage operator, large CRD set, RBAC"
46,rook-release/rook-ceph-cluster@v1.19.5,v1.19.5,recipes/rook-release/rook-ceph-cluster/v1.19.5,packages/rook-release/rook-ceph-cluster/v1.19.5,27,28,27/27,5ac8f526459d6393552b66ab60f690c6c85a1e86bba45ea82d5bbf219694b010,0,2,0,false,true,true,true,false,0,true,false,Ceph cluster custom resources and storage lifecycle
47,crossplane-stable/crossplane@2.3.1,2.3.1,recipes/crossplane-stable/crossplane/2.3.1,packages/crossplane-stable/crossplane/2.3.1,23,24,23/23,917b3dc2a52c16f26cefebe2b580889944e23461d95d1fbe912e0c7a451fd996,0,18,0,false,false,true,true,false,0,true,false,"control plane, CRDs, RBAC, providers"
48,runix/pgadmin4@1.62.0,1.62.0,recipes/runix/pgadmin4/1.62.0,packages/runix/pgadmin4/1.62.0,5,6,5/5,78528d11d3b5ea8cf8c03e43834edbe87a944df1593c516867cc4e0389ba1565,0,1,0,false,false,true,true,true,0,false,false,"database UI workload, Secret handling, ingress options"
49,vm/victoria-metrics-single@0.39.0,0.39.0,recipes/vm/victoria-metrics-single/0.39.0,packages/vm/victoria-metrics-single/0.39.0,3,4,3/3,10c95bd43cb02502fb823b0d461c26b60fb0b4fe988ccf8a0cbe2e29f0a8c5f8,0,0,0,false,false,true,true,false,0,false,false,"metrics database, StatefulSet/PVC"
50,vm/victoria-logs-single@0.12.5,0.12.5,recipes/vm/victoria-logs-single/0.12.5,packages/vm/victoria-logs-single/0.12.5,2,3,2/2,edbf6e7dd31e9a1d0686592e7c1f050b04f5d780bdc33bb34fb3ddbfdfedde04,0,0,0,true,true,true,true,false,0,false,false,"logs database, StatefulSet/PVC"
51,prometheus-community/alertmanager@1.37.0,1.37.0,recipes/prometheus-community/alertmanager/1.37.0,packages/prometheus-community/alertmanager/1.37.0,5,6,5/5,fc6c693435a12f92b94f3f59435e1e23af1cf4b87fc4564cda64ea502e7e1dc6,0,0,0,false,false,false,true,true,0,false,false,"alerting workload, StatefulSet/PVC, config Secret"
52,prometheus-community/prometheus-node-exporter@4.55.0,4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0,packages/prometheus-community/prometheus-node-exporter/4.55.0,3,4,3/3,37862948d7c5d39d7be726864e9c71e6fb9e9fcc1ac40140e97153152aa6ffbc,0,1,0,false,true,true,true,false,0,false,false,"DaemonSet, host mounts, node metrics"
53,prometheus-community/prometheus-blackbox-exporter@11.10.0,11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,4,5,4/4,43dbd48cda5a6f5aa85365fdba15a04cb328d513a0123983ec943c505a01730c,0,0,0,false,false,true,true,false,0,false,false,"exporter workload, config validation, ServiceMonitor options"
54,prometheus-community/prometheus-pushgateway@3.6.0,3.6.0,recipes/prometheus-community/prometheus-pushgateway/3.6.0,packages/prometheus-community/prometheus-pushgateway/3.6.0,3,4,3/3,80cb018f0b277814e17ca7208be55ef10ed74288a258a6519e7bbcf088a9f450,0,0,0,false,false,false,true,false,0,false,false,exporter workload and Service graph
55,prometheus-community/kube-state-metrics@7.4.0,7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0,5,6,5/5,b892be5f9969f39e3a7a0fadacde77cf3b9a86ca16485d5712cc2a476bda14bc,0,2,0,false,true,true,true,false,0,true,false,cluster RBAC and metrics workload
56,prometheus-community/prometheus-adapter@5.3.0,5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,11,12,11/11,50e586691867cf7be3f14a7c3e71839f3f8b6cae32b64a10f01362d68add983a,0,6,0,false,false,true,true,false,0,true,false,"APIService, RBAC, custom metrics"
57,prometheus-community/prometheus-operator-crds@29.0.0,29.0.0,recipes/prometheus-community/prometheus-operator-crds/29.0.0,packages/prometheus-community/prometheus-operator-crds/29.0.0,10,11,10/10,32cfda19c8684a1ad319476b44d9056af7824df3c06622b04a7e28d6bdfd5ab4,0,10,0,true,true,false,false,false,10,false,false,Prometheus operator CRD lifecycle
58,grafana/alloy@1.8.2,1.8.2,recipes/grafana/alloy/1.8.2,packages/grafana/alloy/1.8.2,7,8,7/7,984319325f620b099f091df4c45ef851f0dd7593526f146d5271dbf477f7f37b,0,3,0,false,false,true,true,false,1,true,false,"agent workload, config extension slots, RBAC"
59,jetstack/cert-manager-csi-driver@v0.14.0,v0.14.0,recipes/jetstack/cert-manager-csi-driver/v0.14.0,packages/jetstack/cert-manager-csi-driver/v0.14.0,5,6,5/5,2fa28f4f4c912710babcc4f46818889df3c51396a400dbce6c0245afc20056f3,0,3,0,false,false,true,false,false,0,true,false,"CSI driver, Secret material mounting, RBAC"
60,grafana/pyroscope@2.0.2,2.0.2,recipes/grafana/pyroscope/2.0.2,packages/grafana/pyroscope/2.0.2,18,19,18/18,24d78308d5476731eefba9ac71cee442cf9aeb21f16443557d9a6d9574449df5,0,3,0,true,true,true,true,true,1,true,false,"profiling backend, StatefulSet/PVC, config"
