chart,base,rendered_secret_count,target_fact_secret_count,lifecycle_secret_count,user_secret_count,review_secret_count,overall_disposition,dispositions,roles,evidence,notes
istio/gateway@1.30.0,controller-default-reviewed,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/istio/gateway/1.30.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
istio/gateway@1.30.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/istio/gateway/1.30.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
istio/istiod@1.30.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/istio/istiod/1.30.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jaegertracing/jaeger-operator@2.57.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jaegertracing/jaeger-operator/2.57.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jaegertracing/jaeger-operator@2.57.0,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jaegertracing/jaeger-operator/2.57.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jaegertracing/jaeger@4.8.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jaegertracing/jaeger/4.8.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jetstack/cert-manager-csi-driver@v0.14.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jetstack/cert-manager-csi-driver/v0.14.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jetstack/cert-manager@v1.20.2,crds-enabled,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jetstack/cert-manager/v1.20.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jetstack/cert-manager@v1.20.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jetstack/cert-manager/v1.20.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jetstack/trust-manager@v0.22.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jetstack/trust-manager/v0.22.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
jetstack/trust-manager@v0.22.1,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/jetstack/trust-manager/v0.22.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
kedacore/keda@2.19.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/kedacore/keda/2.19.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
kedacore/keda@2.19.0,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/kedacore/keda/2.19.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
kyverno/kyverno-policies@3.8.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/kyverno/kyverno-policies/3.8.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
kyverno/kyverno@3.8.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/kyverno/kyverno/3.8.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
kyverno/kyverno@3.8.1,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/kyverno/kyverno/3.8.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
linkerd/linkerd-crds@1.8.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/linkerd/linkerd-crds/1.8.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
longhorn/longhorn@1.11.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/longhorn/longhorn/1.11.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
longhorn/longhorn@1.11.2,ui-ingress,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/longhorn/longhorn/1.11.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
metrics-server/metrics-server@3.13.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/metrics-server/metrics-server/3.13.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
metrics-server/metrics-server@3.13.0,external-tls-ca,0,1,0,1,0,staged,staged,user-credential-material,recipes/metrics-server/metrics-server/3.13.0/variants/external-tls-ca/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
