receipt,family,date_field,recorded,age_days
runs/derived-variant-target-bound/nginx-customer-acme-prod/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
runs/derived-variant-target-bound/nginx-prod-us-east/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
runs/derived-variant-target-bound/prometheus-server-only-prod-us-east/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
runs/derived-variant-target-bound/prometheus-server-only-staging-eu-west/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
runs/derived-variant-target-bound/redis-staging-eu-west/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
runs/live-helm-confighub-compare/bitnami-mongodb-static-passwords/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T18:46:27Z,82
runs/live-helm-confighub-compare/bitnami-nginx-http-clusterip/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T12:06:00Z,82
runs/live-helm-confighub-compare/bitnami-postgresql-static-passwords/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T18:19:50Z,82
runs/live-helm-confighub-compare/bitnami-rabbitmq-static-passwords/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T18:25:30Z,82
runs/live-helm-confighub-compare/bitnami-redis-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T12:40:11Z,82
runs/live-helm-confighub-compare/grafana-grafana-static-passwords/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T18:58:30Z,82
runs/live-helm-confighub-compare/jetstack-cert-manager-crds-enabled/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T16:29:56Z,82
runs/live-helm-confighub-compare/metrics-server-metrics-server-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T15:44:11Z,82
runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T16:48:59Z,82
runs/live-helm-confighub-compare/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-05T20:42:11Z,82
runs/live-kind-parity/bitnami-mysql-existing-secret/receipt.yaml,live-kind-parity,observedAt,2026-06-06T10:35:06Z,81
runs/live-kind-parity/bitnami-mysql-static-passwords/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:23:49Z,81
runs/live-kind-parity/bitnami-rabbitmq-existing-secret/receipt.yaml,live-kind-parity,observedAt,2026-06-06T10:42:14Z,81
runs/live-kind-parity/bitnami-rabbitmq-static-passwords/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:27:39Z,81
runs/live-kind-parity/external-secrets-external-secrets-default/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:13:07Z,81
runs/live-kind-parity/grafana-grafana-existing-secret-ingress/receipt.yaml,live-kind-parity,observedAt,2026-06-06T11:04:34Z,81
runs/live-kind-parity/grafana-grafana-static-passwords/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:19:14Z,81
runs/live-kind-parity/grafana-loki-single-binary-filesystem/receipt.yaml,live-kind-parity,observedAt,2026-06-06T13:21:54Z,81
runs/live-kind-parity/hashicorp-consul-default-control-plane/receipt.yaml,live-kind-parity,observedAt,2026-06-06T13:44:54Z,81
runs/live-kind-parity/ingress-nginx-ingress-nginx-admission-disabled/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:10:29Z,81
runs/live-kind-parity/jetstack-cert-manager-crds-enabled/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:13:07Z,81
runs/live-kind-parity/longhorn-longhorn-default/receipt.yaml,live-kind-parity,observedAt,2026-06-06T09:03:36Z,81
runs/live-kind-parity/longhorn-longhorn-ui-ingress/receipt.yaml,live-kind-parity,observedAt,2026-06-06T12:16:11Z,81
runs/live-kind-parity/metrics-server-metrics-server-default/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:10:29Z,81
runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml,live-kind-parity,observedAt,2026-06-06T08:15:57Z,81
runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-sync-secret-rotation/receipt.yaml,live-kind-parity,observedAt,2026-06-06T12:50:43Z,81
runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml,lifecycle-observations,observedAt,2026-06-06T21:15:36Z,80
