chart,variant,lane,lane_label,recorded,disposition,derived,reason,next_action,owner
grafana/pyroscope@2.0.2,no-crds,render_parity,R,pass,pass,no,,,
grafana/pyroscope@2.0.2,no-crds,in_confighub,C,pass,pass,no,,,
grafana/pyroscope@2.0.2,no-crds,local_live,L,pass,pass,no,,,
grafana/pyroscope@2.0.2,no-crds,gitops_oci_live,G,watch,watch,no,,,
grafana/pyroscope@2.0.2,no-crds,live_helm_vs_confighub_parity,P,watch,watch,no,,,
grafana/pyroscope@2.0.2,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,render_parity,R,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,in_confighub,C,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,local_live,L,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,gitops_oci_live,G,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/rollout-operator@0.49.0,default,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/rollout-operator@0.49.0,no-crds,render_parity,R,pass,pass,no,,,
grafana/rollout-operator@0.49.0,no-crds,in_confighub,C,pass,pass,no,,,
grafana/rollout-operator@0.49.0,no-crds,local_live,L,fail,fail,no,,,
grafana/rollout-operator@0.49.0,no-crds,gitops_oci_live,G,pass,pass,no,,,
grafana/rollout-operator@0.49.0,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/rollout-operator@0.49.0,no-crds,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
grafana/tempo@1.24.4,local-persistent,render_parity,R,pass,pass,no,,,
grafana/tempo@1.24.4,local-persistent,in_confighub,C,pass,pass,no,,,
grafana/tempo@1.24.4,local-persistent,local_live,L,pass,pass,no,,,
grafana/tempo@1.24.4,local-persistent,gitops_oci_live,G,pass,pass,no,,,
grafana/tempo@1.24.4,local-persistent,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/tempo@1.24.4,local-persistent,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/tempo@1.24.4,s3-query-observability,render_parity,R,pass,pass,no,,,
grafana/tempo@1.24.4,s3-query-observability,in_confighub,C,pass,pass,no,,,
grafana/tempo@1.24.4,s3-query-observability,local_live,L,blocked,blocked,no,,,
