recipe,repository,chart,version,status,detail,witness
recipes/bitnami/nginx/24.0.2,bitnami,nginx,24.0.2,scanned,,data/flattening-safety/witnesses/bitnami-nginx-24.0.2.yaml
recipes/bitnami/nginx/24.0.4,bitnami,nginx,24.0.4,scanned,,data/flattening-safety/witnesses/bitnami-nginx-24.0.4.yaml
recipes/bitnami/nginx/25.0.0,bitnami,nginx,25.0.0,scanned,,data/flattening-safety/witnesses/bitnami-nginx-25.0.0.yaml
recipes/bitnami/opensearch/2.0.10,bitnami,opensearch,2.0.10,scanned,,data/flattening-safety/witnesses/bitnami-opensearch-2.0.10.yaml
recipes/bitnami/phpmyadmin/20.0.0,bitnami,phpmyadmin,20.0.0,scanned,,data/flattening-safety/witnesses/bitnami-phpmyadmin-20.0.0.yaml
recipes/bitnami/postgresql/18.6.10,bitnami,postgresql,18.6.10,scanned,,data/flattening-safety/witnesses/bitnami-postgresql-18.6.10.yaml
recipes/bitnami/postgresql/18.6.7,bitnami,postgresql,18.6.7,scanned,,data/flattening-safety/witnesses/bitnami-postgresql-18.6.7.yaml
recipes/bitnami/postgresql/18.7.0,bitnami,postgresql,18.7.0,scanned,,data/flattening-safety/witnesses/bitnami-postgresql-18.7.0.yaml
recipes/bitnami/rabbitmq/16.0.14,bitnami,rabbitmq,16.0.14,scanned,,data/flattening-safety/witnesses/bitnami-rabbitmq-16.0.14.yaml
recipes/bitnami/redis/25.5.3,bitnami,redis,25.5.3,scanned,,data/flattening-safety/witnesses/bitnami-redis-25.5.3.yaml
recipes/bitnami/redis/27.0.0,bitnami,redis,27.0.0,current,witness already matches the locked hash,data/flattening-safety/witnesses/bitnami-redis-27.0.0.yaml
recipes/bitnami/spark/10.0.3,bitnami,spark,10.0.3,scanned,,data/flattening-safety/witnesses/bitnami-spark-10.0.3.yaml
recipes/bitnami/zookeeper/13.8.7,bitnami,zookeeper,13.8.7,scanned,,data/flattening-safety/witnesses/bitnami-zookeeper-13.8.7.yaml
recipes/cloudnative-pg/cloudnative-pg/0.28.2,cloudnative-pg,cloudnative-pg,0.28.2,scanned,,data/flattening-safety/witnesses/cloudnative-pg-cloudnative-pg-0.28.2.yaml
recipes/coredns/coredns/1.45.2,coredns,coredns,1.45.2,scanned,,data/flattening-safety/witnesses/coredns-coredns-1.45.2.yaml
recipes/crossplane-stable/crossplane/2.3.1,crossplane-stable,crossplane,2.3.1,scanned,,data/flattening-safety/witnesses/crossplane-stable-crossplane-2.3.1.yaml
