repo,chart,version,base,lane,hooks,lookup,keep,webhooks,generated_secrets,crd_evidence,verdict
jetstack,trust-manager,v0.22.1,no-crds,flatten-with-routes,absent,absent,present-gated,present,present-gated,present-gated,recipes/jetstack/trust-manager/v0.22.1/publication/flattening-safety-verdict-no-crds.yaml
kedacore,keda,2.19.0,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/kedacore/keda/2.19.0/publication/flattening-safety-verdict.yaml
kedacore,keda,2.19.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/kedacore/keda/2.19.0/publication/flattening-safety-verdict-no-crds.yaml
kyverno,kyverno-policies,3.8.0,default,unsafe-to-flatten,absent,present,absent,absent,absent,absent,recipes/kyverno/kyverno-policies/3.8.0/publication/flattening-safety-verdict.yaml
kyverno,kyverno-policies,3.8.2,default,unsafe-to-flatten,absent,present,absent,absent,absent,absent,recipes/kyverno/kyverno-policies/3.8.2/publication/flattening-safety-verdict.yaml
kyverno,kyverno,3.8.1,no-crds,unsafe-to-flatten,present,present,present,absent,present-gated,present-gated,recipes/kyverno/kyverno/3.8.1/publication/flattening-safety-verdict-no-crds.yaml
kyverno,kyverno,3.8.2,default,unsafe-to-flatten,present,present,present,absent,present-gated,present,recipes/kyverno/kyverno/3.8.2/publication/flattening-safety-verdict.yaml
longhorn,longhorn,1.11.2,ui-ingress,unsafe-to-flatten,present,present,absent,absent,absent,present,recipes/longhorn/longhorn/1.11.2/publication/flattening-safety-verdict-ui-ingress.yaml
longhorn,longhorn,1.12.0,default,unsafe-to-flatten,present,present,absent,absent,absent,present,recipes/longhorn/longhorn/1.12.0/publication/flattening-safety-verdict.yaml
metallb,metallb,0.16.1,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/metallb/metallb/0.16.1/publication/flattening-safety-verdict.yaml
metrics-server,metrics-server,3.13.0,external-tls-ca,unsafe-to-flatten,absent,present,absent,absent,present-gated,absent,recipes/metrics-server/metrics-server/3.13.0/publication/flattening-safety-verdict-external-tls-ca.yaml
metrics-server,metrics-server,3.13.1,external-tls-ca,unsafe-to-flatten,absent,present,absent,absent,present-gated,absent,recipes/metrics-server/metrics-server/3.13.1/publication/flattening-safety-verdict-external-tls-ca.yaml
nats,nack,0.34.0,no-crds,safe-to-flatten,absent,absent,absent,absent,absent,present-gated,recipes/nats/nack/0.34.0/publication/flattening-safety-verdict-no-crds.yaml
nats,nats,2.14.0,ha,unsafe-to-flatten,absent,absent,absent,absent,present,absent,recipes/nats/nats/2.14.0/publication/flattening-safety-verdict-ha.yaml
nats,surveyor,0.20.9,default-reviewed,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/nats/surveyor/0.20.9/publication/flattening-safety-verdict-default-reviewed.yaml
oauth2-proxy,oauth2-proxy,10.7.0,default,unsafe-to-flatten,present,absent,present-gated,absent,present,absent,recipes/oauth2-proxy/oauth2-proxy/10.7.0/publication/flattening-safety-verdict.yaml
open-telemetry,opentelemetry-operator,0.114.0,default,unsafe-to-flatten,present,present,absent,present,present-gated,present,recipes/open-telemetry/opentelemetry-operator/0.114.0/publication/flattening-safety-verdict.yaml
open-telemetry,opentelemetry-operator,0.114.0,no-crds,unsafe-to-flatten,present,present,absent,present,present-gated,present-gated,recipes/open-telemetry/opentelemetry-operator/0.114.0/publication/flattening-safety-verdict-no-crds.yaml
percona,pg-operator,3.0.0,default,unsafe-to-flatten,absent,present,absent,absent,absent,present,recipes/percona/pg-operator/3.0.0/publication/flattening-safety-verdict.yaml
percona,pg-operator,3.0.0,no-crds,unsafe-to-flatten,absent,present,absent,absent,absent,present-gated,recipes/percona/pg-operator/3.0.0/publication/flattening-safety-verdict-no-crds.yaml
percona,psmdb-operator,1.22.0,default,unsafe-to-flatten,absent,present,present-gated,absent,absent,present,recipes/percona/psmdb-operator/1.22.0/publication/flattening-safety-verdict.yaml
percona,psmdb-operator,1.22.0,no-crds,unsafe-to-flatten,absent,present,present-gated,absent,absent,present-gated,recipes/percona/psmdb-operator/1.22.0/publication/flattening-safety-verdict-no-crds.yaml
percona,pxc-operator,1.19.1,default,unsafe-to-flatten,absent,present,present-gated,absent,absent,present,recipes/percona/pxc-operator/1.19.1/publication/flattening-safety-verdict.yaml
percona,pxc-operator,1.19.1,no-crds,unsafe-to-flatten,absent,present,present-gated,absent,absent,present-gated,recipes/percona/pxc-operator/1.19.1/publication/flattening-safety-verdict-no-crds.yaml
prometheus-community,alertmanager,1.37.0,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/alertmanager/1.37.0/publication/flattening-safety-verdict.yaml
prometheus-community,alertmanager,1.37.0,ha,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/alertmanager/1.37.0/publication/flattening-safety-verdict-ha.yaml
prometheus-community,kube-prometheus-stack,85.3.3,no-crds,unsafe-to-flatten,present,present,absent,present,present,present-gated,recipes/prometheus-community/kube-prometheus-stack/85.3.3/publication/flattening-safety-verdict-no-crds.yaml
prometheus-community,kube-prometheus-stack,86.1.0,default,unsafe-to-flatten,present,present,absent,present,present,present,recipes/prometheus-community/kube-prometheus-stack/86.1.0/publication/flattening-safety-verdict.yaml
prometheus-community,kube-prometheus-stack,86.1.0,no-crds,unsafe-to-flatten,present,present,absent,present,present,present-gated,recipes/prometheus-community/kube-prometheus-stack/86.1.0/publication/flattening-safety-verdict-no-crds.yaml
prometheus-community,kube-prometheus-stack,87.15.1,default,unsafe-to-flatten,present,present,absent,present,present,present,recipes/prometheus-community/kube-prometheus-stack/87.15.1/publication/flattening-safety-verdict.yaml
prometheus-community,kube-prometheus-stack,87.15.1,existing-secret,unsafe-to-flatten,present,present,absent,present,present,present,recipes/prometheus-community/kube-prometheus-stack/87.15.1/publication/flattening-safety-verdict-existing-secret.yaml
prometheus-community,kube-prometheus-stack,87.15.1,no-crds,unsafe-to-flatten,present,present,absent,present,present,present-gated,recipes/prometheus-community/kube-prometheus-stack/87.15.1/publication/flattening-safety-verdict-no-crds.yaml
prometheus-community,kube-prometheus-stack,87.19.2,existing-secret,unsafe-to-flatten,present,present,absent,present,present,present,recipes/prometheus-community/kube-prometheus-stack/87.19.2/publication/flattening-safety-verdict-existing-secret.yaml
prometheus-community,kube-prometheus-stack,87.19.2,no-crds,unsafe-to-flatten,present,present,absent,present,present,present-gated,recipes/prometheus-community/kube-prometheus-stack/87.19.2/publication/flattening-safety-verdict-no-crds.yaml
prometheus-community,kube-state-metrics,7.4.0,cluster-metrics-readonly,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/kube-state-metrics/7.4.0/publication/flattening-safety-verdict-cluster-metrics-readonly.yaml
prometheus-community,prometheus-adapter,5.3.0,apiservice-v1-capability,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-adapter/5.3.0/publication/flattening-safety-verdict-apiservice-v1-capability.yaml
prometheus-community,prometheus-adapter,5.3.0,cluster-metrics-readonly,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-adapter/5.3.0/publication/flattening-safety-verdict-cluster-metrics-readonly.yaml
prometheus-community,prometheus-blackbox-exporter,11.10.0,cluster-metrics-readonly,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/publication/flattening-safety-verdict-cluster-metrics-readonly.yaml
prometheus-community,prometheus-node-exporter,4.55.0,cluster-metrics-readonly,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-node-exporter/4.55.0/publication/flattening-safety-verdict-cluster-metrics-readonly.yaml
prometheus-community,prometheus,29.8.0,server-only-ephemeral,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus/29.8.0/publication/flattening-safety-verdict-server-only-ephemeral.yaml
prometheus-community,prometheus,29.9.0,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus/29.9.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus,29.9.0,server-only-ephemeral,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus/29.9.0/publication/flattening-safety-verdict-server-only-ephemeral.yaml
